Datetime,Soil_Moisture_30cm
04/17/2011 23:00:00,0.549
04/18/2011 00:00:00,0.549
04/18/2011 01:00:00,0.549
04/18/2011 02:00:00,0.548
04/18/2011 03:00:00,0.548
04/18/2011 04:00:00,0.547
04/18/2011 05:00:00,0.547
04/18/2011 06:00:00,0.547
04/18/2011 07:00:00,0.547
04/18/2011 08:00:00,0.546
04/18/2011 09:00:00,0.546
04/18/2011 10:00:00,0.546
04/18/2011 11:00:00,0.545
04/18/2011 12:00:00,0.544
04/18/2011 13:00:00,0.543
04/18/2011 14:00:00,0.543
04/18/2011 15:00:00,0.543
04/18/2011 16:00:00,0.542
04/18/2011 17:00:00,0.543
04/18/2011 18:00:00,0.543
04/18/2011 19:00:00,0.543
04/18/2011 20:00:00,0.542
04/18/2011 21:00:00,0.542
04/18/2011 22:00:00,0.541
04/18/2011 23:00:00,0.542
04/19/2011 00:00:00,0.542
04/19/2011 01:00:00,0.541
04/19/2011 02:00:00,0.54
04/19/2011 03:00:00,0.54
04/19/2011 04:00:00,0.54
04/19/2011 05:00:00,0.541
04/19/2011 06:00:00,0.54
04/19/2011 07:00:00,0.54
04/19/2011 08:00:00,0.541
04/19/2011 09:00:00,0.54
04/19/2011 10:00:00,0.54
04/19/2011 11:00:00,0.54
04/19/2011 12:00:00,0.54
04/19/2011 13:00:00,0.529
04/19/2011 14:00:00,0.524
04/19/2011 15:00:00,0.522
04/19/2011 16:00:00,0.52
04/19/2011 17:00:00,0.512
04/19/2011 18:00:00,0.511
04/19/2011 19:00:00,0.509
04/19/2011 20:00:00,0.505
04/19/2011 21:00:00,0.502
04/19/2011 22:00:00,0.499
04/19/2011 23:00:00,0.495
04/20/2011 00:00:00,0.493
04/20/2011 01:00:00,0.491
04/20/2011 02:00:00,0.49
04/20/2011 03:00:00,0.488
04/20/2011 04:00:00,0.486
04/20/2011 05:00:00,0.483
04/20/2011 06:00:00,0.479
04/20/2011 07:00:00,0.477
04/20/2011 08:00:00,0.475
04/20/2011 09:00:00,0.473
04/20/2011 10:00:00,0.472
04/20/2011 11:00:00,0.47
04/20/2011 12:00:00,0.468
04/20/2011 13:00:00,0.465
04/20/2011 14:00:00,0.463
04/20/2011 15:00:00,0.462
04/20/2011 16:00:00,0.462
04/20/2011 17:00:00,0.459
04/20/2011 18:00:00,0.458
04/20/2011 19:00:00,0.456
04/20/2011 20:00:00,0.455
04/20/2011 21:00:00,0.453
04/20/2011 22:00:00,0.452
04/20/2011 23:00:00,0.452
04/21/2011 00:00:00,0.449
04/21/2011 01:00:00,0.448
04/21/2011 02:00:00,0.449
04/21/2011 03:00:00,0.446
04/21/2011 04:00:00,0.447
04/21/2011 05:00:00,0.445
04/21/2011 06:00:00,0.445
04/21/2011 07:00:00,0.444
04/21/2011 08:00:00,0.443
04/21/2011 09:00:00,0.441
04/21/2011 10:00:00,0.442
04/21/2011 11:00:00,0.439
04/21/2011 12:00:00,0.437
04/21/2011 13:00:00,0.438
04/21/2011 14:00:00,0.437
04/21/2011 15:00:00,0.434
04/21/2011 16:00:00,0.435
04/21/2011 17:00:00,0.434
04/21/2011 18:00:00,0.433
04/21/2011 19:00:00,0.433
04/21/2011 20:00:00,0.432
04/21/2011 21:00:00,0.432
04/21/2011 22:00:00,0.431
04/21/2011 23:00:00,0.43
04/22/2011 00:00:00,0.428
04/22/2011 01:00:00,0.43
04/22/2011 02:00:00,0.428
04/22/2011 03:00:00,0.425
04/22/2011 04:00:00,0.427
04/22/2011 05:00:00,0.425
04/22/2011 06:00:00,0.426
04/22/2011 07:00:00,0.425
04/22/2011 08:00:00,0.424
04/22/2011 09:00:00,0.423
04/22/2011 10:00:00,0.423
04/22/2011 11:00:00,0.422
04/22/2011 12:00:00,0.422
04/22/2011 13:00:00,0.42
04/22/2011 14:00:00,0.421
04/22/2011 15:00:00,0.421
